NEXT;FNEXT;SNEXT;GNEXT;Waju;
Printing end of day report;FPrinting end of day report;SPrinting end of day report;GPrinting end of day report;Mo n te iwe ipari ojo;
Generating Key Please wait...;FGenerating Key Please wait...;SGenerating Key Please wait...;GGenerating Key Please wait...;Mo se kokoro lowo Ejo Eduro...;
Reprinted Receipt;FReprinted Receipt;SReprinted Receipt;GReprinted Receipt;Atunte Leyi;
Saved on ;FSaved on ;SSaved on ;GSaved on ;A toju e ni ;
Check Digit Passed;FCheck Digit Passed;SGCheck Digit Passed;GCheck Digit Passed;O gba nomba ayewo ;
Check Digit Failed;FCheck Digit Failed;SGCheck Digit Failed;GCheck Digit Failed;O si numba ayewo ;
Could not get key. Do you want to continue anyway?;FCould not get key. Do you want to continue anyway;SCould not get key. Do you want to continue anyway. Do you want to continue anyway;GCould not get key. Do you want to continue anyway. Do you want to continue anyway;Mi o ri kokoro gba. She kin fi tesiwaju? ;
Do you want to inject Keys?;FDo you want to inject Keys?;SDo you want to inject Keys?;GDo you want to inject Keys?;She kin te kokoro wole?;
Ipek creation failed;FIpek creation failed;SIpek creation failed;GIpek creation failed;Mi o ri kokoro nla se;
Check digit extraction failed;FCheck digit extraction failed;SCheck digit extraction failed;GCheck digit extraction failed;Mi o ri numba ayewo yo;
Check digit extraction passed;FCheck digit extraction passed;SCheck digit extraction passed;GCheck digit extraction passed;Mi to yo numba ayewo;
Key injection into pinpad failed;FKey injection into pinpad failed;SKey injection into pinpad failed;GKey injection into pinpad failed;Mi o le te kokoro wole si ahamo;
Key downlaod failed. Do you want to inject test keys?;FKey downlaod failed. Do you want to inject test keys?;SKey downlaod failed. Do you want to inject test keys?;GKey downlaod failed. Do you want to inject test keys?;Mi o ri kokoro tuntun te wole. Se kin te kokoro afisere wole?;
Press Ok or Cancel;FPress Ok or Cancel;SPress Ok or Cancel;GPress Ok or Cancel;  E te Enta tabi kansu;
Undefined Request from browser;FUndefined Request from browser;SUndefined Request from browser;GUndefined Request from browser;Mi o mo nkan ti brausa fe;
Insert or swipe your card;FInsert or swipe your card;SInsert or swipe your card;GInsert or swipe your card;E ti kaadi wole tabi kie e faa gba kolo;
Chip Failure, attempting fallback;FChip Failure, attempting fallback;SChip Failure, attempting fallback;GChip Failure, attempting fallback;Kaadi yii o gbadun, mo fe lo ona keji;
Transaction Approved;FTransaction Approved;STransaction Approved;GTransaction Approved;Oja ti ta;
Transaction Declined;FTransaction Declined;STransaction Declined;GTransaction Declined;Oja ko ta;
Offline Aproved;FOffline Aproved;SOffline Aproved;GOffline Aproved;O gba a i lo boga;
Offline Declined;FOffline Declined;SOffline Declined;GOffline Declined;Ko gba a lo boga;
Offline Not Allowed;FOffline Not Allowed;SOffline Not Allowed;GOffline Not Allowed;A ko gba a i lo boga;
Non EMV;FNon EMV;SNon EMV;GNon EMV;Eleyi ko kin se EMV;
EMV Chip Error;FEMV Chip Error;SEMV Chip Error;GEMV Chip Error;Kaadi to se asise;
Card Removed;FCard Removed;SCard Removed;GCard Removed;Won ti yo kaadi;
Card blocked by ISS;FCard blocked by ISS;SCard blocked by ISS;GCard blocked by ISS;ISS ti ti kaadi yi pa;
Application blocked;FApplication blocked;SApplication blocked;GApplication blocked;A ti to ohun isise kaadi yi pa;
Candidate list empty;FCandidate list empty;SCandidate list empty;GCandidate list empty;Ko si kandideti kankan ni kaadi yii;
Bad Data Format;FBad Data Format;SBad Data Format;GBad Data Format;Data to wa ni kaadi yi ko da;
No known application is available;FApplication not available;SApplication not available;GApplication not available;Ko si applikason;
Transaction Cancelled;FTransaction Cancelled;STransaction Cancelled;GTransaction Cancelled;A ti da owo duro;
Easy Entry Application;FEasy Entry Application;SEasy Entry Application;GEasy Entry Application;O rorun lati wo aplikason yii;
ICC Data Mising;FICC Data Mising;SICC Data Mising;GICC Data Mising;Ko si ICC data;
Configuration file not found;FConfiguration file not found;SConfiguration file not found;GConfiguration file not found; A ko ri konfigorason faili;
Failed to Connect;FFailed to Connect;SFailed to Connect;GFailed to Connect;O feeli lati konneti;
Selection Failed;FSelection Failed;SSelection Failed;GSelection Failed;Ati mu ko yori;
This is a chip card, please use Chip Reader;FUse Chip Reader;SUse Chip Reader;GUse Chip Reader;E je ki a lo chip rida;
Please remove card;FPlease remove card;SPlease remove card;GPlease remove card;E jo e yo kaadi;
Bad ICC Response;FBad ICC Response;SBad ICC Response;GBad ICC Response;Esi kaad yi koda;
EMV Failure;FEMV Failure;SEMV Failure;GEMV Failure;EMV Feeli;
Use Magstripe;FUse Magstripe;SUse Magstripe;GUse Magstripe;E lo Magstripe;
Tag Not found;FTag Not found;STag Not found;GTag Not found;A ko ri taagi;
Invalid CAPK File;FInvalid CAPK File;SInvalid CAPK File;GInvalid CAPK File;CAPK Faili yii koda;
Invalid ATR;FInvalid ATR;SInvalid ATR;GInvalid ATR;ATR yii ko da;
Chip Error;FChip Error;SChip Error;GChip Error;Asise sele lori kaadi yii;
Signature Required;FSignature Required;SSignature Required;GSignature Required;o nilo ka gba itewo;
Retry Transaction;FRetry Transaction;SRetry Transaction;GRetry Transaction;E tun se;
Select Application;FSelect Application;SSelect Application;GSelect Application;E mu application ti e fe;
Failed;FFailed;SFailed;GFailed;Ko yori;
EMV post process not succesfull;FEMV post process not succesfull;SEMV post process not succesfull;GEMV post process not succesfull;
This is a chip card please insert it in the chip card slot;FThis is a chip card please insert it in the chip card slot;SThis is a chip card please insert it in the chip card slot;GThis is a chip card please insert it in the chip card slot;Ship kad leyi. ejoo e te wo kolo;
Could not get resource Information;FCould not get resource Information;SCould not get resource Information;GCould not get resource Information;Ko ri risosi gba;
Chip decided to decline;FChip decided to decline;SChip decided to decline;GChip decided to decline;Shipi ko gba ki a ra oja;
This resource to be downloaded does not support resumable downloads;FThis resource to be downloaded does not support resumable downloads;SThis resource to be downloaded does not support resumable downloads;GThis resource to be downloaded does not support resumable downloads;Nkan ti mo fe gba yii ko see ge si kekeeke;
Insufficient Memory;FInsufficient Memory;SInsufficient Memory;GInsufficient Memory;Iye memori to wa o to;
Key;Fkey;Skey;GKey;Kokoro;
Per done;FPer done;SPer done;GPer done;Iye ti ati se;
Of;FOf;SOf;GOf;Ninu;
Downloading;FDownloading;SDownloading;GDownloading;Mo n gba;
Estimate Time N/A;FEstimate Time N/A;SEstimate Time N/A;GEstimate Time N/A;Mi o ti mo iye akoko;
Left;FLeft;SLeft;GLeft;Loku;
Processing the IPEK;FProcessing the IPEK;SProcessing the IPEK;GProcessing the IPEK;Mo n se IPEK lowo;
Processing the Signature Key;FProcessing the Signature Key;SProcessing the Signature Key;GProcessing the Signature Key;Mo n se kokoro idanimo;
This terminal has been killed. please call support;FThis terminal has been killed please call support;SThis terminal has been killed please call support;GThis terminal has been killed please call support;Won ti pa tamina yii ejo e pe sopoti;
Unknown terminal security state. please call support;FUnknown terminal security state. please call support;SUnknown terminal security state. please call support;GUnknown terminal security state. please call support;Mi o mo idabodo termina yii e jo e pe sopoti;
This terminal has been disabled and operates in a minimum functionality mode. Please call support;FThis terminal has been disabled and operates in a minimum functionality mode. Please call support;SThis terminal has been disabled and operates in a minimum functionality mode. Please call support;GThis terminal has been disabled and operates in a minimum functionality mode. Please call support;A ti ti tamina yii ko de ni le se ise pupo. ejowo e pe sopoti;
This terminal is a new terminal and installation will start shortly;FThis terminal is a newly downloaded terminal and installation will start shortly;SThis terminal is a newly downloaded terminal and installation will start shortly;GThis terminal is a newly downloaded terminal and installation will start shortly;Tamina tuntun leyi. isile ma bere laipe;
Config file signature not found;fConfig file signature not found;SConfig file signature not found;GConfig file signature not found;A ko ri kokoro idabobo;
Bad config file;FBad config file;SBad config file;GBad config file;Iwe awo-sise ko da;
Cannot digest the config file;FCannot digest the config fileSCannot digest the config fileGCannot digest the config file;Mi ko ri iwe idabobo tuka;
